,Game Name,Place Ids,Min Price,Max Price,Median Price,Mean Price
1362,[3X💰] Idle Miner Tycoon💎,10372042038,75,1700,275.0,521.75
1363,[☢️] Hard Stud High Jump Per Difficulty Chart Obby,7492509725,50,799,324.0,347.64285714285717
1364,Floors Have Teeth,16866847653,99,299,199.0,191.85714285714286
1365,Slide House Tumble,8438158667,20,135,50.0,55.333333333333336
1366,Teddy,5901440255,120,200,160.0,160.0
1367,[🥵SUS🥵] Neko Catgirl Hunt,15457170591,75,150,112.5,112.5
1368,📈 Business Life 💼💸 RP Cash Tycoon,16089997830,50,400,200.0,245.0
1369,Vivian's Ugc! (CHEAP LIMITEDS!!),17040646103,199,749,396.5,401.125
1370,[💥 NEW] 🌴 Sonic Morphs X [54],16103723594,49,1299,129.0,278.2857142857143
1371,[SLENDERMAN] Cult Of The Cryptids,5082331079,100,1100,255.0,320.0
1372,The Ultimate Rage Obby,6669988514,99,450,314.0,283.1
1373,Murder Mayhem [🎉2M],15718970076,50,800,400.0,416.6666666666667
1374,🕵️SPY🕵️ CIA Agent Roleplay,5641537505,185,7998,754.5,1121.25
1375,Wheel Drawing Obby,12813519921,149,450,289.0,268.0
1376,🔮 [Ability Craft] 🔮,17503741332,149,199,174.0,174.0
1377,Squid Game Infinity RP (UPDATE),7569392700,400,2500,800.0,1083.3333333333333
1378,Horror Tycoon,5189834468,100,1500,300.0,477.1818181818182
1379,[UPDATE] [RED VS BLUE] Flag Frenzy!,15222475262,99,999,574.5,549.1666666666666
1380,Charmed:Reborn,12691971351,299,1499,699.0,766.6153846153846
1381,💥 Admin Simulator,218377574,160,15999,799.0,1584.5652173913043
1382,Sword Blox Online: Rebirth,4733278992,50,1500,455.0,518.8461538461538
1383,👿Slayer Corps [Pillars Training]👺,14195873109,39,1999,399.0,480.15384615384613
1384,Midnight Ranger [HORROR],17405944598,35,799,99.0,225.85714285714286
1385,1% Win Easy Obby,16946937967,129,799,274.0,341.5
1386,[🚚TRUCKS!] Game Store Tycoon 🎮,10963175,99,199,149.0,149.0
1387,🔱Submarine Roleplay [UPDATES!],2029435838,30,1799,280.0,508.1666666666667
1388,item asylum,5670218884,25,100,62.5,62.5
1389,Speed Simulator,7026828578,198,398,298.0,278.0
1390,POV: You are a cockroach in my house,5938672061,75,75,75.0,75.0
1391,💎 Mining Factory Tycoon ⛏️Casual Strategy,12717051222,39,499,199.0,203.28571428571428
1392,Ultimate Jenga,11147253047,100,299,178.0,175.4
1393,[FREE LIMITED] Punch Simulator 👊,14236123211,99,1299,299.0,386.05882352941177
1394,[NEW MAP] Cart Ride Delivery Service,11454403177,100,800,350.0,383.3333333333333
1395,[🔊 VOICE CHAT] Stone-Haven County Asylum,6002091275,195,2899,374.0,703.6
1396,🥩 Escape The Butcher Shop Obby! (NEW READ DESC),1946695497,100,250,150.0,160.0
1397,PROVE MOM WRONG BY BECOMING PRESIDENT,15135808781,49,1399,249.0,425.6666666666667
1398,Specter [BUNKER 04],5911084042,99,699,299.0,307.8235294117647
1399,[UPDATE 39] RPG Simulator,2990100290,100,699,499.0,420.85714285714283
1400,Dash Blade,15745508390,159,399,299.0,285.6666666666667
1401,💪Strength Clash Simulator,17707396942,99,2499,364.0,529.625
1402,Wacky Rails [2 Player Cart Ride],15589649575,125,398,200.0,230.75
1403,Miner's Haven ⛏️,258258996,40,2450,762.5,849.1666666666666
1404,[🌌VOID] Strong Ninja Simulator,10476933477,149,799,299.0,370.42857142857144
1405,Super Golf!,4468711919,299,699,399.0,454.55555555555554
1406,Hoop Session™,6494429951,300,450,300.0,350.0
1407,[UPDATE 2.45/3] Dragon Ball Final Remastered,298400657,50,750,375.0,367.0
1408,⚔️ [GATLING GUN] Zulu Wars,2627036812,80,350,160.0,200.0
1409,[FREE UGC] YouTuber Battles Simulator,14372055772,29,1699,298.0,466.93333333333334
1410,Bathtub Universe (CLASSIC VER. ),16149927712,299,299,299.0,299.0
1411,[HIT] Dragon Ball Evolution [Alpha 3.6],5324597737,199,899,449.0,445.55172413793105
1412,Hole Simulator,4670813246,650,650,650.0,650.0
1413,Chill Obby,12357508217,79,799,249.0,345.0
1414,Super Power Fighting Simulator,2619187362,199,599,399.0,359.0
1415,"[🎉FREE X9,999M PET🎉] Pet Hatchers",12768405553,79,1199,249.0,347.8888888888889
1416,Snow Plow Simulator,11701792069,149,899,324.0,438.7
1417,Doll's matching outfits,16360052674,100,10000,1000.0,3320.0
1418,Those Who Remain,488667523,200,800,475.0,491.6666666666667
1419,La Kantina Vibe 😈,17663815608,36,200,90.0,103.5
1420,Life in Paradise,1662219031,50,750,87.5,177.08333333333334
1421,Bring a Drawing to Life!,15436959988,49,6999,99.0,649.0
1422,Find The WRONG Logo Quiz,16054400671,129,499,214.0,264.0
1423,Earth Core Exploration,11765435020,99,4499,299.0,618.6296296296297
1424,BlockyTubbies: RolePlay,6274750611,15,100000,99.0,8039.307692307692
1425,Eat a Huge Waffle,12347771683,69,1430,199.0,370.8333333333333
1426,Anime Tycoon,5963376918,100,1500,300.0,477.1818181818182
1427,Makeup Contest 💄,13165501311,89,199,99.0,124.0
1428,[NEW BLADES!] Blades RNG,16349323749,150,250,199.0,199.66666666666666
1429,Dragon Race,13234744520,99,999,345.0,387.6111111111111
1430,🌈Rainbow Slide Parkour Obby Oby Obey,4670019828,50,7500,375.0,1045.0
1431,[UPD] Dig to find dad,12001051622,79,1199,349.0,512.3333333333334
1432,💪 PUSH SIMULATOR 💪,13681795330,149,3978,324.0,701.0714285714286
1433,[RUSSIA] The Conquerors 3,8377997,150,2000,1000.0,1016.6666666666666
1434,2 Player Evolution Tycoon,3017870574,99,799,199.0,287.8888888888889
1435,[⚔️ 999.999DX] 💪 Swordman Simulator 💪,5055081323,99,999,224.0,374.0
1436,Buchones v3,14771338115,49,49,49.0,49.0
1437,Humankind 2 [REVAMP],15245352916,100,1000,500.0,525.0
1438,[UPD] Track Race Simulator 🏃‍♂️,17400621644,100,1200,250.0,331.5217391304348
1439,[RAID!]Dougahan Tower Defense BETA,15923990789,99,199,149.0,149.0
1440,Airship Assault,8840562096,100,800,200.0,320.0
1441,🚪50/50 Pick A Door Obby!,10679961467,99,999,495.0,477.42857142857144
1442,Farmstead 🐔,9903258006,195,750,395.0,431.42857142857144
1443,💸Money Tycoon!,9898710720,97,777,208.5,318.4
1444,[NEW] SHADOVIS RPG,9585537847,200,777,375.0,431.75
1445,[FRIEZA] Ki Battlegrounds,15986371527,99,350,250.0,233.0
1446,☀️[SUMMER UPDATE]☀️🍗dagedago BARRY'S PRISON RUN🍗,16976505074,79,1500,249.0,300.6
1447,POOH 🍯 (STORY),11157473458,49,599,200.0,241.33333333333334
1448,99% Fail Glass Bridge Obby,10721852444,150,700,400.0,415.0
1449,Little World 🌎,5569431582,75,299,225.0,214.16666666666666
1450,Ball Simulator,15550262399,179,849,459.0,499.0
1451,LAVA Tsunami 🔥,16805761403,50,999,174.0,332.5
1452,Granny,6000468131,100,1500,1000.0,866.6666666666666
1453,Bodybuilder Simulator 💪,14570378822,49,757,189.0,293.77777777777777
1454,Edward the Man-Eating Train,10875701453,50,595,230.0,272.5
1455,Fly with a Balloon To VIP,17134342907,10,1499,237.5,312.125
1456,Blob Eating Simulator,14430668093,139,399,149.0,209.0
1457,Brawl-Blox,2965881766,40,50,45.0,45.0
1458,Ocean Explorer Simulator (ALPHA RELEASE!),17493792535,250,999,499.0,542.875
1459,Prison Base Tycoon,3179952301,95,600,195.0,221.8181818181818
1460,[ALPHA] Rail Sim Universe Pre-Release,10962282214,4000,4000,4000.0,4000.0
1461,Thick Legends,4399032158,45,599,299.0,335.4
1462,📍 BILLY (STORY),13528989601,35,699,225.0,269.7
1463,The Underground War,3829055572,55,350,75.0,94.07692307692308
1464,The Border Experience [NEW],15038190256,35,299,50.0,106.6
1465,FIRST 3 PLAYER TYCOON IN ROBLOX!,1020232214,50,450,50.0,130.0
1466,(NEW CARS🚗) Tha Bronx RP 😈,14816095088,999999999,999999999,999999999.0,999999999.0
1467,Elemental Grind Game,4375458071,350,350,350.0,350.0
1468,[NEW WEAPONS] PARACAM,16587913123,89,1499,149.0,297.46153846153845
1469,[✨UPDATE!] Rider Blox,9301186334,50,650,350.0,380.0
1470,[UPDATE 🤑] Climb 1000 Stairs for Free Robots,16392077175,150,450,250.0,310.0
1471,[☀️UPD] Become a Nextbot,10647156264,25,800,250.0,297.22222222222223
1472,Security Guard Simulator,13836575930,99,799,299.0,377.57142857142856
1473,[50% SALE] Society | Dev Access,6310162389,75,2200,90.0,788.3333333333334
1474,Advanced Ragdoll Fighting [BETA],15389282745,15,349,149.0,154.30769230769232
1475,[BANK HEIST] Chicago 1949,3449573444,99,1999,549.0,583.2857142857143
1476,Pressure Wash Simulator,7009799230,199,799,399.0,427.57142857142856
1477,Bow Battle Arena,15532190432,499,499,499.0,499.0
1478,🍦Work at an Ice Cream Parlor,364483307,75,9999,399.0,1967.842105263158
1479,[HALIFAX REVAMP!] Tiny Sailor's: WORLD™,3218349654,25,250,75.0,114.93333333333334
1480,Equalia Falls Mental Institute,9675359772,80,3000,300.0,598.125
1481,⛺️Supernatural Simulator,6273865312,199,1599,399.0,626.2727272727273
1482,Youtuber Tycoon - 2 Player,12557762512,120,1900,350.0,457.3529411764706
1483,[MOM WANDA] Multiversal Awakening 3,17596905692,500,500,500.0,500.0
1484,"(💰 NEW 100K CODE, 🚗 2 NEW CARS & MORE) Roanoke",2418863943,75,650,350.0,345.45454545454544
1485,Survival the Superheroes the Killers,17045507412,39,749,84.0,223.78571428571428
1486,All of Us Are Dead,9759729519,49,599,449.0,386.5
1487,Ultimate Town Sandbox [BETA],15214140740,90,250,170.0,170.0
1488,Escape Prison Obby! 🚨 (NEW) (READ DESC),3072832953,100,150,150.0,135.0
1489,[⚡100k+Charge⚡] Button Incremental,17685322431,49,799,349.0,357.3333333333333
1490,Glamour Dolls 🌸,12999258688,250,1100,375.0,525.0
1491,Mo's Academy,8929050629,250,600,450.0,420.0
1492,[UPD4] IQ Wars Simulator,13911308778,79,699,179.0,261.3076923076923
1493,ORA | Main Dance Studio,17464225336,25,50,50.0,41.666666666666664
1494,[UPDATE 0.7 🌊] Football Frontier,6946379582,349,2499,799.0,999.0
1495,⚡ Power Simulator,17410514362,160,270,195.0,205.0
1496,Dragon Blade,7279999673,250,1500,320.0,568.0
1497,Flashlight Tag 🔦,13416653475,199,399,249.0,282.3333333333333
1498,Mystic Magic,12969834403,199,1999,299.0,606.1428571428571
1499,Cursed Islands,990566015,149,499,324.5,307.8333333333333
1500,[🍯 NEW BOSS] Ghost Simulator,2685347741,150,700,350.0,373.52941176470586
1501,Survive SCP Monsters The Killer,17255758612,25,799,199.0,219.72222222222223
1502,🕷️ Spider-Man Simulator,3837864717,299,399,299.0,317.1818181818182
1503,GO TO JAIL AND MAKE FRIENDS TO ESCAPE tycoon,12264058682,49,599,399.0,327.0
1504,Baby Dragon Story🐲,7375150118,250,250,250.0,250.0
1505,Rise of the Dead,141084271,100,400,200.0,225.0
1506,☠️ Mafia Tycoon,14799873576,25,2999,299.0,757.6666666666666
1507,The Sleepover 😴,13567756530,50,599,199.0,263.44444444444446
1508,Merge! [21 - 25],11411653820,150,150,150.0,150.0
1509,[ORBITAL🔥]  Rarity Simulator,17120151435,149,2799,399.0,630.8181818181819
1510,Bangkok Dinner,16076105670,89,399,129.0,171.5
1511,ROBLOX Rally Racing,4992570197,80,210,97.5,124.0
1512,[BETA] Stuttgart Border Checkpoint V2,15232519737,120,6000,450.0,1640.0
1513,CHAIN [Pre-Alpha],10204250851,50,350,200.0,204.16666666666666
1514,Aquarium Tycoon 🐠🐟,5049532701,45,299,150.0,163.6
1515,Furry Infection game [Furinfection],10679239752,50,1199,399.0,482.55555555555554
1516,Sail The World Simulator! 🌊,13158032465,199,499,349.0,349.0
1517,[😈] Killstreak Sword Fighting,16945218529,144,400,240.0,261.3333333333333
1518,🍕 PROVE DAD WRONG BY COOKING PIZZA,15500517226,20,299,174.5,166.4
1519,Don't Scream,17360628733,50,650,250.0,299.85714285714283
1520,Kitty PS5 & PS4,5002210114,38,175,81.5,94.0
1521,Thief Simulator,8232438881,129,1249,349.0,386.89473684210526
1522,BACKROOMS Nextbots,10254164154,299,1499,749.0,824.0
1523,Emergency England,12356105815,120,1500,450.0,551.0
1524,🍟 McDonalds Restaurant! [VERSION 2],16005934516,150,1899,499.5,741.0
1525,Bakon 🔪 [4 Years!],4601704679,49,699,174.0,224.0
1526,Black Hole Core,12456158615,40,500,60.0,130.71428571428572
1527,Cant say the letter!,10489243061,75,444,150.0,223.0
1528,Sodor Simulator • Early Access •,6470225972,25,100,75.0,77.77777777777777
1529,get cancelled tycoon,13692314644,49,599,349.0,324.0
1530,GO TO PRISON EXPERIENCE,15463939294,199,199,199.0,199.0
1531,Muscle Throw [FREE ITEM],11756510601,199,599,349.0,399.0
1532,ESCAPE SCHOOL BULLY! (Obby),13318191958,100,1500,300.0,404.9
1533,(NEW GAMEPASS!!) V5.2 Doms Mud Park 2,10761785387,69,200,100.0,108.54545454545455
1534,Race Merge Simulator,13536908241,129,750,329.5,381.1666666666667
1535,Undertale Test Place Reborn,7491927311,200,200,200.0,200.0
1536,Find Your Match NYC,16141868428,250,5000,500.0,1330.0
1537,Impossible Glass Bridge (Squid Game),11466878637,299,899,399.0,532.3333333333334
1538,SIREN COP'S PRISON! (SCARY OBBY),7167649916,100,300,250.0,230.0
1539,Street Outlaws Cash Days,9370296952,99,599,249.0,315.8888888888889
1540,Infamy,6182305461,25,400,150.0,153.0
1541,Ice Cream Shop Experience 🍦,15479406916,50,449,199.0,235.33333333333334
1542,Marble Workshop,14785769593,75,300,75.0,90.625
1543,+1 Speed Every Second ⚡,11298615665,99,298,259.0,224.6
1544,Warrior Routes V2,17098088534,80,500,150.0,236.0
1545,Build and Survive!,3056526277,200,4999,400.0,1449.6
1546,Jule's RNG,16883974868,99,400,300.0,266.3333333333333
1547,2 Player Computer Tycoon,5345933661,3,399,79.0,108.45454545454545
1548,Deadly Decisions,12434172731,249,450,349.5,349.5
1549,[⚒️UPD🏝️]Desert Island Survival,8222131500,400,1000,800.0,733.3333333333334
1550,Running From The Internet,11195100561,299,399,349.0,349.0
1551,[UPDATE] Piggy: Branched Realities 🔮,7434630138,150,400,200.0,250.0
1552,[🕷️] InVision's: Web-Verse [V3],6850547571,100,1000,289.0,340.3636363636364
1553,[MAP REVAMP!] 🍀Flex Your Luck🍀 [PRE ALPHA],15296932900,149,100000,5124.0,27599.25
1554,⚡MEGA SWORD SIMULATOR⚡,17194682877,599,1299,799.0,879.0
1555,Gem Galaxies,273326777,50,375,212.5,207.5
1556,CITY-17,4474859677,199,1999,599.0,799.0
1557,Deepwoken Playground [SILENTHEART],14486236911,285,5000,400.0,1004.375
1558,🔓Escape Room,2767559000,8,499,89.0,149.83333333333334
1559,🎃EVENT! 🎈Fire Breathing Simulator🔥,5006110264,49,714286,199.0,73553.73333333334
1560,Saber Simulator,3823781113,149,899,499.0,490.73333333333335
1561,☢️Pinewood Computer Core,17541193,4,1411,169.5,315.1666666666667
1562,The Sewers [RAT VACUUM],15798268709,99,399,199.0,239.0
1563,the waiting room,14581464815,18,1250,72.5,353.25
1564,Be a Spider! Tycoon,6794368433,149,399,299.0,286.5
1565,Cart Ride Into Catnap and DogDay,17206379671,300,699,499.5,499.5
1566,[✈️ UPDATE] Plane crash physics X,14670199189,349,999,549.0,640.6666666666666
1567,Warriors Army Simulator 2⚔️,12163115177,20,599,249.0,273.6923076923077
1568,Risk Universalis,3056320177,179,715,287.0,393.6666666666667
1569,Color Food Eat,12623584442,199,799,399.0,469.0
1570,The Climb,12338436966,80,200,140.0,140.0
1571,Play Cats Morphs: Friend Rescue,11366343566,100,400,100.0,129.41176470588235
1572,Elemental Awakening [GRAVITY],6969185078,200,700,400.0,425.0
1573,Pummu Talladega (fixed bumps),7670825572,49,125,74.0,82.66666666666667
1574,NO JUMPING OBBY,17321628486,25,1200,249.0,421.57142857142856
1575,[😊] Faire's MM2,4954414102,5,5,5.0,5.0
1576,Lights Out💡,13674495546,149,199,174.0,174.0
1577,[HARDER😲] Bikelife Miami 2,16068464333,99,1999,199.5,624.25
1578,[NEW DAYTONA] RoStock Racing! (NASCAR),7709878065,99,499,249.0,275.75
1579,School Bus Simulator 24,4898233867,35,290,190.0,174.16666666666666
1580,Crazy Cards 17+,15920409743,199,699,499.0,439.0
1581,[AUGMENT V2 + SUBFACTION] Fire Force Online,7390824960,300,300,300.0,300.0
1582,RAGE QUIT OBBY,15666161643,75,799,269.0,303.5
1583,Pop It Trading,7503115095,399,499,449.0,449.0
1584,Poppy Playtime: Forever,13520190673,299,1399,400.0,659.4
1585,Boys ONLY. NO GIRLS ALLOWED.,10482667287,200,10000,400.0,2208.3333333333335
1586,Warship Roleplay | WW2 🌊,1296881293,70,2441,270.0,406.07142857142856
1587,🌇 Tiny Town 👪 Tycoon,5670398739,50,2499,500.0,779.3333333333334
1588,OPPOSER VR [Alpha],7406004869,80,650,195.0,253.33333333333334
1589,The Watch Tower [HORROR],15913382249,50,449,199.0,197.2
1590,Land of Lizards 2 {BETA},11847021440,250,3500,500.0,1416.6666666666667
1591,Hotel Simulator! 🛎️,9666226803,149,499,299.0,308.375
1592,Inglewood LA ☄️ | Serious RP! (Console & Mobile),12642719118,500,5000,2250.0,2287.5
1593,[🔩X5 Muscle💪]💪Ultra Lifting Simulator🔩,13928941253,79,999,624.0,563.375
1594,Bus Simulator,2091563160,8,450,50.0,101.29411764705883
1595,TSUNAMI Simulator! 🌊,17325730721,50,999,160.0,221.8
1596,🔨Building Simulator🏢,2928583865,30,2999,249.0,712.6666666666666
1597,Break Boards!,14190901452,39,549,164.0,205.8181818181818
1598,Highway Hooligans,12682535373,49,149,99.0,99.0
1599,"Laredo TX, Border RP V2 I SUMMER UPDATE",6448788420,125,1500,299.0,442.0
1600,[⚠️NEW] Russian Sleep Experiment,1501087462,15,4500,85.0,395.94736842105266
1601,🌊 Water Park,2769293732,30,499,89.5,134.14285714285714
1602,[Day of Dusk] The Border (Beta),1927139201,95,3875,850.0,1189.0
1603,[FREE VALKYRIE] Easy Jump,14766572449,50,500,299.0,289.6
1604,Frogge,4845347966,99,666,382.5,382.5
1605,[💰 2x Cash ] DownForce - Stunt Driving,8266004066,195,395,395.0,328.3333333333333
1606,[KJ and Megumi]Gojo Vs Toji Ability Test,16457183958,59,70,64.5,64.5
1607,Outside,6043229719,20,500,55.0,123.0
1608,IQ Obby [EVENT 4],12805830692,5,10000,2899.0,2584.6470588235293
1609,Ship crash physics Simulator,12137499703,249,699,499.0,529.0
1610,[RELEASE] Hade's RNG,16556777270,100,100,100.0,100.0
1611,Itty Bitty Railway [BETA],2797140616,45,1750,135.0,268.72727272727275
1612,[Anarquia REVAMP] The Vampire Diaries,11626556754,800,800,800.0,800.0
1613,FPE: Slaughter (BETA),17282590286,149,399,274.0,274.0
1614,Titanic SOS,8819753772,49,299,149.0,170.42857142857142
1615,ROBLOX NPCs are becoming smart!,6813414321,10,350,125.0,154.0
1616,[UPD] Handstand Simulator,17446492288,49,499,149.0,187.66666666666666
1617,🔥[SALE!] Paintball Wars!,8585910608,400,800,600.0,600.0
1618,🌈 Rainbow Obby,6693682391,280,280,280.0,280.0
1619,Toy SoldierZ,12215278065,48,1198,98.0,292.44444444444446
1620,[TRADE] Anime Realms Simulator,14484114005,49,1499,449.0,527.3333333333334
1621,[🪐SPACE!] Find The Noobies Morphs,15251574108,125,250,175.0,183.33333333333334
1622,Grabpack System,16764997873,20,100,75.0,70.0
1623,Rob Mr Rich's Mansion Obby! (NEW READ DESC),6846406540,100,300,250.0,230.0
1624,Neo Warfare X,501396354,50,5000,500.0,1158.3333333333333
1625,Rec It,13730658693,299,399,349.0,349.0
1626,Never-Ending Cart Ride,9862832367,100,1000,175.0,258.1818181818182
1627,LGBTQ+ Hangout🌈,5373028495,50,999,199.0,335.0
1628,TNT Simulator,14592034615,39,2495,149.0,351.375
1629,Emergency World Wide,6282580530,57,379,274.5,260.5
1630,Midnight Creep [HORROR],17677759374,24,599,199.0,250.9090909090909
1631,🐣 Egg Farm Tycoon 2!,15266209754,69,699,159.0,229.0
1632,Vayhood hangout,8098913835,30,499,99.0,139.16666666666666
1633,Multiverse Reborn [ALPHA],8186306701,150,10000,500.0,1807.142857142857
1634,[ESCAPE] Nightmare Huggy Wuggy,17291378542,74,595,195.0,231.2
1635,[TURK] Sohbet Oyunu,7069857142,40,1480,150.0,301.3636363636364
1636,Become a famous influencer ⭐,14125634878,29,399,299.0,251.85714285714286
1637,An Infinite Road Trip,5032892136,14,500,50.0,153.5
1638,💪 Gym Tycoon!,6484864709,79,999,499.0,532.0
1639,💗Sell Pets and PROVE MOM WRONG! [NEW],15480619510,13,499,249.0,242.8
1640,(🔥PLAYER BUILD🔥) Undertale: Timeline Collapse,7478475781,50,1200,700.0,702.5
